TAG	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0114	fig|1121259.3.peg.1664	-	-	-	-	fig|31899.10.peg.2068	-	-	-	-	-	-	-
TAG0115	fig|1121259.3.peg.1665	-	-	-	-	-	-	-	-	-	-	-	-
TAG0116	fig|1121259.3.peg.1666	-	-	-	-	-	-	-	-	-	-	-	-
TAG0117	fig|1121259.3.peg.1677	-	-	-	-	-	-	-	-	-	-	-	-
TAG0118	fig|1121259.3.peg.1678	-	-	-	-	-	-	-	-	-	-	-	-
TAG0119	fig|1121259.3.peg.1680	-	-	-	-	-	-	-	-	-	-	-	-
TAG0120	fig|1121259.3.peg.1720	-	-	-	-	-	-	-	fig|632292.3.peg.1162	-	-	-	-
TAG0121	fig|1121259.3.peg.1725	-	-	-	-	-	-	-	-	-	-	-	-
TAG0122	fig|1121259.3.peg.1726	-	-	-	-	-	-	fig|608506.3.peg.1005|COB47_0923	-	-	-	-	-
TAG0123	fig|1121259.3.peg.1728	-	-	-	-	-	-	-	-	-	-	-	-
TAG0124	fig|1121259.3.peg.1729	-	-	-	-	-	-	-	-	-	-	-	-
TAG0125	fig|1121259.3.peg.1730	-	-	-	-	-	-	fig|608506.3.peg.1004|COB47_0922	-	-	-	-	-
TAG0126	fig|1121259.3.peg.1731	-	-	-	-	-	-	-	-	-	-	-	-
TAG0127	fig|1121259.3.peg.1732	-	-	-	-	-	-	-	-	-	-	-	-
TAG0128	fig|1121259.3.peg.1733	-	-	-	-	-	-	-	-	-	-	-	-
TAG0129	fig|1121259.3.peg.1735	-	-	-	-	-	-	fig|608506.3.peg.1006|COB47_0924	-	-	-	fig|632516.3.peg.1826|CallaDRAFT_1758	-
TAG0130	fig|1121259.3.peg.1736	-	-	-	-	-	-	-	-	-	-	-	-
TAG0131	fig|1121259.3.peg.1738	-	fig|1387555.3.peg.1804	-	-	-	-	-	-	-	-	-	-
TAG0132	fig|1121259.3.peg.1739	-	-	-	-	-	-	-	-	-	-	-	-
TAG0133	fig|1121259.3.peg.1744	-	-	-	-	-	-	-	-	-	-	-	-
TAG0134	fig|1121259.3.peg.1772	-	-	-	-	-	-	-	-	-	-	-	-
TAG0135	fig|1121259.3.peg.1777	-	-	-	-	-	-	-	-	-	-	-	-
TAG0136	fig|1121259.3.peg.1870	-	-	-	-	-	-	-	-	-	-	-	-
TAG0137	fig|1121259.3.peg.1876	-	-	-	-	-	-	-	-	-	-	-	-
TAG0138	fig|1121259.3.peg.1877	-	-	-	-	-	-	-	-	-	-	-	-
TAG0139	fig|1121259.3.peg.1885	-	-	-	-	-	-	-	-	fig|632335.8.peg.452	-	-	-
TAG0140	fig|1121259.3.peg.191	-	-	-	-	-	-	-	-	-	-	-	-
TAG0141	fig|1121259.3.peg.1915	-	-	-	-	-	-	fig|608506.3.peg.2069	-	-	-	-	-
TAG0142	fig|1121259.3.peg.1944	-	-	-	-	-	-	-	-	-	-	-	-
TAG0143	fig|1121259.3.peg.198	"fig|1214564.3.peg.1227,fig|1214564.3.peg.254"	fig|1387555.3.peg.1959	"fig|1387557.3.peg.1182,fig|1387557.3.peg.1596"	fig|1387569.3.peg.2469	-	fig|351627.8.peg.2099|Csac_1919	fig|608506.3.peg.1679|COB47_1566	fig|632292.3.peg.1456|Calhy_1370	"fig|632335.8.peg.1036|Calkr_0927,fig|632335.8.peg.1468|Calkr_1346,fig|632335.8.peg.739"	-	fig|632516.3.peg.2307|CallaDRAFT_2222	"fig|632518.3.peg.1231|Calow_1146,fig|632518.3.peg.797|Calow_0732"
TAG0144	fig|1121259.3.peg.1991	fig|1214564.3.peg.682	-	fig|1387557.3.peg.1779	-	fig|31899.10.peg.2021|SAMN05216182_1810	fig|351627.8.peg.2384|Csac_2202	fig|608506.3.peg.1123|COB47_1028	fig|632292.3.peg.1295|Calhy_1211	fig|632335.8.peg.1685|Calkr_1556	fig|632348.3.peg.1262|Calkro_1188	fig|632516.3.peg.1118|CallaDRAFT_1058	fig|632518.3.peg.1387|Calow_1301
TAG0145	fig|1121259.3.peg.201	-	-	-	-	-	-	-	-	-	-	-	-
TAG0146	fig|1121259.3.peg.2018	-	-	-	-	-	-	-	-	-	-	-	-
TAG0147	fig|1121259.3.peg.2027	-	-	-	-	-	-	-	-	-	-	-	-
TAG0148	fig|1121259.3.peg.2032	-	-	-	-	-	-	fig|608506.3.peg.1082	-	-	-	-	-
TAG0149	fig|1121259.3.peg.2049	fig|1214564.3.peg.2064	-	-	-	-	-	-	-	-	-	-	-
